"year","death1c","age","male","female"
2022,"RegionC",4,124,236
2023,"RegionC",4,234,243
2017,"RegionD",4,234,456
2018,"RegionD",4,453,457
2019,"RegionD",4,257,7527
2020,"RegionD",4,247,459
2021,"RegionD",4,123,460
2022,"RegionD",4,124,247
2023,"RegionD",4,275,462
2017,"RegionA",7,245,456
2018,"RegionA",7,346,27
2019,"RegionA",7,234,458
2020,"RegionA",7,355,459
2021,"RegionA",7,123,460
2022,"RegionA",7,334,461
2023,"RegionA",7,234,52
2017,"RegionB",7,335,456
2018,"RegionB",7,123,245
2019,"RegionB",7,124,52
2020,"RegionB",7,334,459
2021,"RegionB",7,123,523
2022,"RegionB",7,124,461
2023,"RegionB",7,42,63
2017,"RegionC",7,234,456
2018,"RegionC",7,123,523
2019,"RegionC",7,724,458
2020,"RegionC",7,316,459
2021,"RegionC",7,247,460
2022,"RegionC",7,124,236
2023,"RegionC",7,234,243
2017,"RegionD",7,234,456
2018,"RegionD",7,453,457
2019,"RegionD",7,257,7527
2020,"RegionD",7,247,459
2021,"RegionD",7,123,460
2022,"RegionD",7,124,247
2023,"RegionD",7,275,462
2017,"RegionA",12,245,456
2018,"RegionA",12,346,27
2019,"RegionA",12,234,458
2020,"RegionA",12,355,459
2021,"RegionA",12,123,460
2022,"RegionA",12,334,461
2023,"RegionA",12,234,52
2017,"RegionB",12,335,456
2018,"RegionB",12,123,245
2019,"RegionB",12,124,52
2020,"RegionB",12,334,459
2021,"RegionB",12,123,523
2022,"RegionB",12,124,461
2023,"RegionB",12,42,63
2017,"RegionC",12,234,456
2018,"RegionC",12,123,523
2019,"RegionC",12,724,458
2020,"RegionC",12,316,459
2021,"RegionC",12,247,460
2022,"RegionC",12,124,236
2023,"RegionC",12,234,243
2017,"RegionD",12,234,456
2018,"RegionD",12,453,457
2019,"RegionD",12,257,7527
2020,"RegionD",12,247,459
2021,"RegionD",12,123,460
2022,"RegionD",12,124,247
2023,"RegionD",12,275,462
2017,"RegionA",25,245,456
2018,"RegionA",25,346,27
2019,"RegionA",25,234,458
2020,"RegionA",25,355,459
2021,"RegionA",25,123,460
2022,"RegionA",25,334,461
2023,"RegionA",25,234,52
2017,"RegionB",25,335,456
2018,"RegionB",25,123,245
2019,"RegionB",25,124,52
2020,"RegionB",25,334,459
2021,"RegionB",25,123,523
2022,"RegionB",25,124,461
2023,"RegionB",25,42,63
2017,"RegionC",25,234,456
2018,"RegionC",25,123,523
2019,"RegionC",25,724,458
2020,"RegionC",25,316,459
2021,"RegionC",25,247,460
2022,"RegionC",25,124,236
2023,"RegionC",25,234,243
2017,"RegionD",25,234,456
2018,"RegionD",25,453,457
2019,"RegionD",25,257,7527
2020,"RegionD",25,247,459
2021,"RegionD",25,123,460
2022,"RegionD",25,124,247
2023,"RegionD",25,275,462
2017,"RegionA",34,245,456
2018,"RegionA",34,346,27
2019,"RegionA",34,234,458
2020,"RegionA",34,355,459
2021,"RegionA",34,123,460
2022,"RegionA",34,334,461
2023,"RegionA",34,234,52
2017,"RegionB",34,335,456
2018,"RegionB",34,123,245
2019,"RegionB",34,124,52
2020,"RegionB",34,334,459
2021,"RegionB",34,123,523
2022,"RegionB",34,124,461
2023,"RegionB",34,42,63
2017,"RegionC",34,234,456
2018,"RegionC",34,123,523
2019,"RegionC",34,724,458
2020,"RegionC",34,316,459
2021,"RegionC",34,247,460
2022,"RegionC",34,124,236
2023,"RegionC",34,234,243
2017,"RegionD",34,234,456
2018,"RegionD",34,453,457
2019,"RegionD",34,257,7527
2020,"RegionD",34,247,459
2021,"RegionD",34,123,460
2022,"RegionD",34,124,247
2023,"RegionD",34,275,462
