variable_id,variable_name,event,characteristic,source,type,un_id,output_id,output_id_old,output_name,output_status
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_3_08,T3.8,"Adjustment of births by place of usual residence of mother and sex of newborn, year",NA
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_3_11,T3.11,"Redistribution of births with incomplete data on ‘age of mother’, year",NA
birth1b,Date of registration,Birth,Event,Direct,Date,LB-1,table_4_02,T4.2,"Live births by place of occurrence and sex of newborn, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,LB-2,table_4_03,T4.3,"Live births by place of occurrence and place of usual residence of mother, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_4_04,T4.4,"Live births by age of mother and type of birth, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,LB-5,table_4_05,T4.5,"Live births by age and marital status of mother, urban areas, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,LB-5,table_4_06,T4.6,"Live births by age and marital status of mother, rural areas, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,LB-13,table_4_07,T4.7,"Live births by place of occurrence, site of delivery and attendant at birth, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,ST-2,table_4_08,T4.8,"Crude birth rate (CBR) by usual residence of mother, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_4_09,T4.9,"Age-specific fertility rates by usual residence of mother, urban areas, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_4_10,T4.10,"Age-specific fertility rates by usual residence of mother, rural areas, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,NA,table_4_11,T4.11,"Total fertility rate (TFR) by usual residence of mother, year",Priority
birth1b,Date of registration,Birth,Event,Direct,Date,NA,figure_3_01,F3.1,Proportion (%) of live births and deaths by registration timeliness,Optional
birth1c,Place of occurrence,Birth,Event,Direct,Character,LB-1,table_4_02,T4.2,"Live births by place of occurrence and sex of newborn, year",Priority
birth1c,Place of occurrence,Birth,Event,Direct,Character,LB-2,table_4_03,T4.3,"Live births by place of occurrence and place of usual residence of mother, year",Priority
birth1c,Place of occurrence,Birth,Event,Direct,Character,LB-13,table_4_07,T4.7,"Live births by place of occurrence, site of delivery and attendant at birth, year",Priority
birth2a,Sex,Birth,Newborn,Direct,Character,NA,table_3_04,T3.4,Birth registration completeness by year of occurrence and sex of newborn,Optional
birth2a,Sex,Birth,Newborn,Direct,Character,NA,table_3_05,T3.5,"Birth registration completeness by place of usual residence of mother and sex of newborn, year",NA
birth2a,Sex,Birth,Newborn,Direct,Character,NA,table_3_08,T3.8,"Adjustment of births by place of usual residence of mother and sex of newborn, year",NA
birth2a,Sex,Birth,Newborn,Direct,Character,LB-1,table_4_02,T4.2,"Live births by place of occurrence and sex of newborn, year",Priority
birth2a,Sex,Birth,Newborn,Direct,Character,ST-9,table_8_01,T8.1,"Live births, deaths, and infant and child deaths by year of occurrence, year",NA
birth2a,Sex,Birth,Newborn,Direct,Character,ST-1,table_8_02,T8.2,"Live births, deaths, and infant and child deaths by place of usual residence of mother (births) or decedent (deaths), year",NA
birth3l,Place of usual residence,Birth,Mother,Direct,Character,NA,table_3_05,T3.5,"Birth registration completeness by place of usual residence of mother and sex of newborn, year",NA
birth3l,Place of usual residence,Birth,Mother,Direct,Character,NA,table_3_08,T3.8,"Adjustment of births by place of usual residence of mother and sex of newborn, year",NA
birth3l,Place of usual residence,Birth,Mother,Direct,Character,LB-2,table_4_03,T4.3,"Live births by place of occurrence and place of usual residence of mother, year",Priority
birth3l,Place of usual residence,Birth,Mother,Direct,Character,ST-2,table_4_08,T4.8,"Crude birth rate (CBR) by usual residence of mother, year",Priority
birth3l,Place of usual residence,Birth,Mother,Direct,Character,ST-1,table_8_02,T8.2,"Live births, deaths, and infant and child deaths by place of usual residence of mother (births) or decedent (deaths), year",NA
birth3l,Place of usual residence,Birth,Mother,Direct,Character,ST-2,table_8_04,T8.4,"Fertility and mortality indicators by place of usual residence of mother (births and infant deaths) or decedent (other deaths), year",NA
birth3l,Place of usual residence,Birth,Mother,Direct,Character,NA,figure_4_02,F4.2,"Live births by age of mother, year",Priority
birth1g,"Type of birth (i.e., single, twin, triplet, quadruplet or higher multiple delivery)",Birth,Event,Direct,Character,NA,table_4_04,T4.4,"Live births by age of mother and type of birth, year",Priority
birth3b,Age,Birth,Mother,Derived,Integer,NA,table_3_11,T3.11,"Redistribution of births with incomplete data on ‘age of mother’, year",NA
birth3b,Age,Birth,Mother,Derived,Integer,NA,table_4_04,T4.4,"Live births by age of mother and type of birth, year",Priority
birth3b,Age,Birth,Mother,Derived,Integer,LB-5,table_4_05,T4.5,"Live births by age and marital status of mother, urban areas, year",Priority
birth3b,Age,Birth,Mother,Derived,Integer,LB-5,table_4_06,T4.6,"Live births by age and marital status of mother, rural areas, year",Priority
birth3b,Age,Birth,Mother,Derived,Integer,NA,table_4_09,T4.9,"Age-specific fertility rates by usual residence of mother, urban areas, year",Priority
birth3b,Age,Birth,Mother,Derived,Integer,NA,table_4_10,T4.10,"Age-specific fertility rates by usual residence of mother, rural areas, year",Priority
birth3b,Age,Birth,Mother,Derived,Integer,NA,table_4_11,T4.11,"Total fertility rate (TFR) by usual residence of mother, year",Priority
birth3b,Age,Birth,Mother,Derived,Integer,ST-9,table_8_03,T8.3,Fertility and mortality indicators by year of occurrence,NA
birth3b,Age,Birth,Mother,Derived,Integer,ST-2,table_8_04,T8.4,"Fertility and mortality indicators by place of usual residence of mother (births and infant deaths) or decedent (other deaths), year",NA
birth3b,Age,Birth,Mother,Derived,Integer,NA,figure_4_02,F4.2,"Live births by age of mother, year",Priority
birth3b,Age,Birth,Mother,Derived,Integer,NA,figure_4_04,F4.4,Age-specific fertility rates (ASFRs) by year of occurrence of birth,Priority
birth3b,Age,Birth,Mother,Derived,Integer,NA,figure_4_05,F4.5,Total fertility rate by year of occurrence of birth,Priority
birth3c,Marital status,Birth,Mother,Direct,Character,LB-5,table_4_05,T4.5,"Live births by age and marital status of mother, urban areas, year",Priority
birth3c,Marital status,Birth,Mother,Direct,Character,LB-5,table_4_06,T4.6,"Live births by age and marital status of mother, rural areas, year",Priority
birth3n,Urban/rural residence,Birth,Mother,Derived,Character,LB-5,table_4_05,T4.5,"Live births by age and marital status of mother, urban areas, year",Priority
birth3n,Urban/rural residence,Birth,Mother,Derived,Character,LB-5,table_4_06,T4.6,"Live births by age and marital status of mother, rural areas, year",Priority
birth3n,Urban/rural residence,Birth,Mother,Derived,Character,NA,table_4_09,T4.9,"Age-specific fertility rates by usual residence of mother, urban areas, year",Priority
birth3n,Urban/rural residence,Birth,Mother,Derived,Character,NA,table_4_10,T4.10,"Age-specific fertility rates by usual residence of mother, rural areas, year",Priority
birth3n,Urban/rural residence,Birth,Mother,Derived,Character,NA,table_4_11,T4.11,"Total fertility rate (TFR) by usual residence of mother, year",Priority
birth3n,Urban/rural residence,Birth,Mother,Derived,Character,NA,figure_4_03,F4.3,Crude birth rate by year of occurrence,Priority
birth1h,Attendant at birth,Birth,Event,Direct,Character,LB-13,table_4_07,T4.7,"Live births by place of occurrence, site of delivery and attendant at birth, year",Priority
birth1i,"Type of place of occurrence (hospital, home, etc.)",Birth,Event,Additional,Character,LB-13,table_4_07,T4.7,"Live births by place of occurrence, site of delivery and attendant at birth, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_3_01,T3.1,"Number of vital events by registration timeliness, year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_3_03,T3.3,Proportion (%) of deaths by year of registration and year of occurrence,NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_3_06,T3.6,Death registration completeness by year of occurrence and sex of decedent,NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_3_07,T3.7,"Death registration completeness by place of usual residence and sex of decedent, year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_3_09,T3.9,"Adjustment of deaths by place of usual residence and sex of decedent, year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_3_10,T3.10,"Adjustment of deaths by age group and sex of decedent, year",Optional
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_3_12,T3.12,"Redistribution of deaths with incomplete data on ‘age of decedent’, year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_5_01,T5.1,"Summary statistics on mortality by year of occurrence, year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,DE-1,table_5_02,T5.2,"Deaths by place of usual residence and sex of decedent, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,DE-2,table_5_03,T5.3,"Deaths by place of occurrence and place of usual residence of decedent, males, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,DE-2,table_5_04,T5.4,"Deaths by place of occurrence and place of usual residence of decedent, females, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,DE-4,table_5_05,T5.5,"Deaths by place of occurrence and site of occurrence, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,DE-5,table_5_06,T5.6,"Deaths by age and sex of decedent, urban areas, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,DE-5,table_5_07,T5.7,"Deaths by age and sex of decedent, rural areas, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_5_08,T5.8,"Crude death rate (CDR) by place of usual residence of decedent, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_5_09,T5.9,"Infant and child mortality (deaths per 1,000 live births) by year of occurrence",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_5_10,T5.10,Maternal mortality by year of occurrence,Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_5_11,T5.11,Foetal deaths by year of occurrence and sex of foetus,NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_5_12,T5.12,"Foetal deaths by gestational age and birth weight of foetus, year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_01,T6.1,"Leading causes of death by broad age group and sex, year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_02,T6.2,"Top 10 causes of death (all ages, both sexes), year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_03,T6.3,"10 leading causes of death, males, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_04,T6.4,"10 leading causes of death, females, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_05,T6.5,"10 leading causes of death, infants and children (0–4 years, both sexes combined), year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_06,T6.6,"10 leading causes of death, children (5–14 years, both sexes combined), year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_07,T6.7,"10 leading causes of death, adolescents and adults (15–69 years, males), year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_08,T6.8,"10 leading causes of death, adolescents and adults (15–69 years, females), year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_09,T6.9,"10 leading causes of death, older adults (15–69 years, males), year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,table_6_10,T6.10,"10 leading causes of death, older adults (15–69 years, females), year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,ST-9,table_8_01,T8.1,"Live births, deaths, and infant and child deaths by year of occurrence, year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,ST-1,table_8_02,T8.2,"Live births, deaths, and infant and child deaths by place of usual residence of mother (births) or decedent (deaths), year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,ST-9,table_8_03,T8.3,Fertility and mortality indicators by year of occurrence,NA
death1a,Date of occurrence,Death,Event,Direct,Date,ST-2,table_8_04,T8.4,"Fertility and mortality indicators by place of usual residence of mother (births and infant deaths) or decedent (other deaths), year",NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_3_01,F3.1,Proportion (%) of live births and deaths by registration timeliness,Optional
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_5_01,F5.1,Deaths by year of occurrence,Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_5_02,F5.2,"Deaths by sex and age of decedent, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_5_03,F5.3,Crude death rate by sex and year of occurrence of death,Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_5_04,F5.4,"Age-specific mortality rate by sex, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_5_05,F5.5,Life expectancy at birth by sex and year of occurrence,NA
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_6_01,F6.1,"Deaths by broad group, including ill-defined codes, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_6_02,F6.2,"Deaths by broad disease group and age, males, year",Priority
death1a,Date of occurrence,Death,Event,Direct,Date,NA,figure_6_03,F6.3,"Deaths by broad disease group and age, females, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_3_01,T3.1,"Number of vital events by registration timeliness, year",NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_3_03,T3.3,Proportion (%) of deaths by year of registration and year of occurrence,NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_3_06,T3.6,Death registration completeness by year of occurrence and sex of decedent,NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_3_07,T3.7,"Death registration completeness by place of usual residence and sex of decedent, year",NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_3_09,T3.9,"Adjustment of deaths by place of usual residence and sex of decedent, year",NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_3_10,T3.10,"Adjustment of deaths by age group and sex of decedent, year",Optional
death1b,Date of registration,Death,Event,Direct,Date,NA,table_3_12,T3.12,"Redistribution of deaths with incomplete data on ‘age of decedent’, year",NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_5_01,T5.1,"Summary statistics on mortality by year of occurrence, year",NA
death1b,Date of registration,Death,Event,Direct,Date,DE-1,table_5_02,T5.2,"Deaths by place of usual residence and sex of decedent, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,DE-2,table_5_03,T5.3,"Deaths by place of occurrence and place of usual residence of decedent, males, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,DE-2,table_5_04,T5.4,"Deaths by place of occurrence and place of usual residence of decedent, females, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,DE-4,table_5_05,T5.5,"Deaths by place of occurrence and site of occurrence, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,DE-5,table_5_06,T5.6,"Deaths by age and sex of decedent, urban areas, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,DE-5,table_5_07,T5.7,"Deaths by age and sex of decedent, rural areas, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_5_08,T5.8,"Crude death rate (CDR) by place of usual residence of decedent, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_5_09,T5.9,"Infant and child mortality (deaths per 1,000 live births) by year of occurrence",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_5_10,T5.10,Maternal mortality by year of occurrence,Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_5_11,T5.11,Foetal deaths by year of occurrence and sex of foetus,NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_5_12,T5.12,"Foetal deaths by gestational age and birth weight of foetus, year",NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_01,T6.1,"Leading causes of death by broad age group and sex, year",NA
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_02,T6.2,"Top 10 causes of death (all ages, both sexes), year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_03,T6.3,"10 leading causes of death, males, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_04,T6.4,"10 leading causes of death, females, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_05,T6.5,"10 leading causes of death, infants and children (0–4 years, both sexes combined), year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_06,T6.6,"10 leading causes of death, children (5–14 years, both sexes combined), year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_07,T6.7,"10 leading causes of death, adolescents and adults (15–69 years, males), year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_08,T6.8,"10 leading causes of death, adolescents and adults (15–69 years, females), year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_09,T6.9,"10 leading causes of death, older adults (15–69 years, males), year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,table_6_10,T6.10,"10 leading causes of death, older adults (15–69 years, females), year",Priority
death1b,Date of registration,Death,Event,Direct,Date,ST-9,table_8_01,T8.1,"Live births, deaths, and infant and child deaths by year of occurrence, year",NA
death1b,Date of registration,Death,Event,Direct,Date,ST-1,table_8_02,T8.2,"Live births, deaths, and infant and child deaths by place of usual residence of mother (births) or decedent (deaths), year",NA
death1b,Date of registration,Death,Event,Direct,Date,ST-9,table_8_03,T8.3,Fertility and mortality indicators by year of occurrence,NA
death1b,Date of registration,Death,Event,Direct,Date,ST-2,table_8_04,T8.4,"Fertility and mortality indicators by place of usual residence of mother (births and infant deaths) or decedent (other deaths), year",NA
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_3_01,F3.1,Proportion (%) of live births and deaths by registration timeliness,Optional
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_5_01,F5.1,Deaths by year of occurrence,Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_5_02,F5.2,"Deaths by sex and age of decedent, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_5_03,F5.3,Crude death rate by sex and year of occurrence of death,Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_5_04,F5.4,"Age-specific mortality rate by sex, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_5_05,F5.5,Life expectancy at birth by sex and year of occurrence,NA
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_6_01,F6.1,"Deaths by broad group, including ill-defined codes, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_6_02,F6.2,"Deaths by broad disease group and age, males, year",Priority
death1b,Date of registration,Death,Event,Direct,Date,NA,figure_6_03,F6.3,"Deaths by broad disease group and age, females, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_3_06,T3.6,Death registration completeness by year of occurrence and sex of decedent,NA
death2c,Sex,Death,Decedent,Direct,Character,NA,table_3_07,T3.7,"Death registration completeness by place of usual residence and sex of decedent, year",NA
death2c,Sex,Death,Decedent,Direct,Character,NA,table_3_09,T3.9,"Adjustment of deaths by place of usual residence and sex of decedent, year",NA
death2c,Sex,Death,Decedent,Direct,Character,NA,table_3_10,T3.10,"Adjustment of deaths by age group and sex of decedent, year",Optional
death2c,Sex,Death,Decedent,Direct,Character,NA,table_3_12,T3.12,"Redistribution of deaths with incomplete data on ‘age of decedent’, year",NA
death2c,Sex,Death,Decedent,Direct,Character,DE-1,table_5_02,T5.2,"Deaths by place of usual residence and sex of decedent, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,DE-2,table_5_03,T5.3,"Deaths by place of occurrence and place of usual residence of decedent, males, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,DE-2,table_5_04,T5.4,"Deaths by place of occurrence and place of usual residence of decedent, females, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,DE-5,table_5_06,T5.6,"Deaths by age and sex of decedent, urban areas, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,DE-5,table_5_07,T5.7,"Deaths by age and sex of decedent, rural areas, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_5_11,T5.11,Foetal deaths by year of occurrence and sex of foetus,NA
death2c,Sex,Death,Decedent,Direct,Character,NA,table_5_12,T5.12,"Foetal deaths by gestational age and birth weight of foetus, year",NA
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_01,T6.1,"Leading causes of death by broad age group and sex, year",NA
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_03,T6.3,"10 leading causes of death, males, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_04,T6.4,"10 leading causes of death, females, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_05,T6.5,"10 leading causes of death, infants and children (0–4 years, both sexes combined), year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_06,T6.6,"10 leading causes of death, children (5–14 years, both sexes combined), year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_07,T6.7,"10 leading causes of death, adolescents and adults (15–69 years, males), year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_08,T6.8,"10 leading causes of death, adolescents and adults (15–69 years, females), year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_09,T6.9,"10 leading causes of death, older adults (15–69 years, males), year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,table_6_10,T6.10,"10 leading causes of death, older adults (15–69 years, females), year",Priority
death2c,Sex,Death,Decedent,Direct,Character,ST-9,table_8_01,T8.1,"Live births, deaths, and infant and child deaths by year of occurrence, year",NA
death2c,Sex,Death,Decedent,Direct,Character,ST-1,table_8_02,T8.2,"Live births, deaths, and infant and child deaths by place of usual residence of mother (births) or decedent (deaths), year",NA
death2c,Sex,Death,Decedent,Direct,Character,NA,figure_5_02,F5.2,"Deaths by sex and age of decedent, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,figure_5_03,F5.3,Crude death rate by sex and year of occurrence of death,Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,figure_5_04,F5.4,"Age-specific mortality rate by sex, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,figure_5_05,F5.5,Life expectancy at birth by sex and year of occurrence,NA
death2c,Sex,Death,Decedent,Direct,Character,NA,figure_6_02,F6.2,"Deaths by broad disease group and age, males, year",Priority
death2c,Sex,Death,Decedent,Direct,Character,NA,figure_6_03,F6.3,"Deaths by broad disease group and age, females, year",Priority
death1c,Place of occurrence,Death,Event,Direct,Character,DE-2,table_5_03,T5.3,"Deaths by place of occurrence and place of usual residence of decedent, males, year",Priority
death1c,Place of occurrence,Death,Event,Direct,Character,DE-2,table_5_04,T5.4,"Deaths by place of occurrence and place of usual residence of decedent, females, year",Priority
death1c,Place of occurrence,Death,Event,Direct,Character,DE-4,table_5_05,T5.5,"Deaths by place of occurrence and site of occurrence, year",Priority
death1n,"Type of place of occurrence (hospital, home, etc.)",Death,Event,Additional,Character,DE-4,table_5_05,T5.5,"Deaths by place of occurrence and site of occurrence, year",Priority
death2b,Age,Death,Decedent,Derived,Integer,NA,table_3_10,T3.10,"Adjustment of deaths by age group and sex of decedent, year",Optional
death2b,Age,Death,Decedent,Derived,Integer,NA,table_3_12,T3.12,"Redistribution of deaths with incomplete data on ‘age of decedent’, year",NA
death2b,Age,Death,Decedent,Derived,Integer,DE-5,table_5_06,T5.6,"Deaths by age and sex of decedent, urban areas, year",Priority
death2b,Age,Death,Decedent,Derived,Integer,DE-5,table_5_07,T5.7,"Deaths by age and sex of decedent, rural areas, year",Priority
death2b,Age,Death,Decedent,Derived,Integer,NA,table_5_09,T5.9,"Infant and child mortality (deaths per 1,000 live births) by year of occurrence",Priority
death2b,Age,Death,Decedent,Derived,Integer,NA,table_5_11,T5.11,Foetal deaths by year of occurrence and sex of foetus,NA
death2b,Age,Death,Decedent,Derived,Integer,NA,table_5_12,T5.12,"Foetal deaths by gestational age and birth weight of foetus, year",NA
